Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
S1_Remote,M1000.0,Bool,100,ReadAndWrite,1,0,
S1_Local,M1000.1,Bool,100,ReadAndWrite,1,0,
S1_Auto,M1000.2,Bool,100,ReadAndWrite,1,0,
S1_Man,M1000.3,Bool,100,ReadAndWrite,1,0,
S1_Local_Stop,M1000.4,Bool,100,ReadAndWrite,1,0,
S2_Remote,M100,Bool,100,ReadAndWrite,1,0,
S2_Local,M100,Bool,100,ReadAndWrite,1,0,
S2_Auto,M100,Bool,100,ReadAndWrite,1,0,
S2_Man,M100,Bool,100,ReadAndWrite,1,0,
S2_Local_Stop,M100,Bool,100,ReadAndWrite,1,0,
S3_Remote,M100,Bool,100,ReadAndWrite,1,0,
S3_Local,M100,Bool,100,ReadAndWrite,1,0,
S3_Auto,M100,Bool,100,ReadAndWrite,1,0,
S3_Man,M100,Bool,100,ReadAndWrite,1,0,
S3_Local_Stop,M100,Bool,100,ReadAndWrite,1,0,
S1_DC1_Running,M1000.5,Bool,100,ReadAndWrite,1,0,
S1_DC2_Running,M1000.6,Bool,100,ReadAndWrite,1,0,
S1_DC3_Running,M1000.7,Bool,100,ReadAndWrite,1,0,
S2_DC1_Running,M100,Bool,100,ReadAndWrite,1,0,
S2_DC2_Running,M100,Bool,100,ReadAndWrite,1,0,
S2_DC3_Running,M100,Bool,100,ReadAndWrite,1,0,
S3_DC1_Running,M100,Bool,100,ReadAndWrite,1,0,
S3_DC2_Running,M100,Bool,100,ReadAndWrite,1,0,
S3_DC3_Running,M100,Bool,100,ReadAndWrite,1,0,
Door1_Opening,M1001.0,Bool,100,ReadAndWrite,1,0,
Door1_Closing,M1001.1,Bool,100,ReadAndWrite,1,0,
Door2_Opening,M100.2,Bool,100,ReadAndWrite,1,0,
Door2_Closing,M1001.3,Bool,100,ReadAndWrite,1,0,
Door3_Opening,M1001.0,Bool,100,ReadAndWrite,1,0,
Door3_Closing,M1001.1,Bool,100,ReadAndWrite,1,0,
Door4_Opening,M1001.2,Bool,100,ReadAndWrite,1,0,
Door4_Closing,M1001.3,Bool,100,ReadAndWrite,1,0,
Door5_Opening,M1001.1,Bool,100,ReadAndWrite,1,0,
Door5_Closing,M1001.3,Bool,100,ReadAndWrite,1,0,
Door6_Opening,M1001.1,Bool,100,ReadAndWrite,1,0,
Door6_Closing,M1001.2,Bool,100,ReadAndWrite,1,0,
Doorlock1_Opening,M1001.2,Bool,100,ReadAndWrite,1,0,
Doorlock1_Closing,M1001.1,Bool,100,ReadAndWrite,1,0,
Doorlock2_Opening,M1001.1,Bool,100,ReadAndWrite,1,0,
Doorlock2_Closing,M1001.2,Bool,100,ReadAndWrite,1,0,
Doorlock3_Opening,M1001.4,Bool,100,ReadAndWrite,1,0,
Doorlock3_Closing,M1001.5,Bool,100,ReadAndWrite,1,0,
