Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
Remote,DB4.DBX0.0,Bool,100,ReadAndWrite,1,0,
Local,DB4.DBX0.1,Bool,100,ReadAndWrite,1,0,
Auto,DB4.DBX0.2,Bool,100,ReadAndWrite,1,0,
Man,DB4.DBX0.3,Bool,100,ReadAndWrite,1,0,
Local_Stop,DB4.DBX0.4,Bool,100,ReadAndWrite,1,0,
DC1_Running,DB4.DBX0.5,Bool,100,ReadAndWrite,1,0,
DC2_Running,DB4.DBX0.6,Bool,100,ReadAndWrite,1,0,
DC3_Running,DB4.DBX0.7,Bool,100,ReadAndWrite,1,0,
Door1_Opening,DB4.DBX1.0,Bool,100,ReadAndWrite,1,0,
Door1_Closing,DB4.DBX1.1,Bool,100,ReadAndWrite,1,0,
Door2_Opening,DB4.DBX1.2,Bool,100,ReadAndWrite,1,0,
Door2_Closing,DB4.DBX1.3,Bool,100,ReadAndWrite,1,0,
Door1_Open,DB4.DBX2.0,Bool,100,ReadAndWrite,1,0,
Door1_Close,DB4.DBX2.1,Bool,100,ReadAndWrite,1,0,
Door2_Open,DB4.DBX2.2,Bool,100,ReadAndWrite,1,0,
Door2_Close,DB4.DBX2.3,Bool,100,ReadAndWrite,1,0,
Doorlock1_Opening,DB4.DBX1.4,Bool,100,ReadAndWrite,1,0,
Doorlock1_Closing,DB4.DBX1.5,Bool,100,ReadAndWrite,1,0,
Doorlock2_Opening,DB4.DBX1.6,Bool,100,ReadAndWrite,1,0,
Doorlock2_Closing,DB4.DBX1.7,Bool,100,ReadAndWrite,1,0,
Doorlock1_1Open,DB4.DBX2.4,Bool,100,ReadAndWrite,1,0,
Doorlock1_1Close,DB4.DBX2.5,Bool,100,ReadAndWrite,1,0,
Doorlock1_2Open,DB4.DBX2.6,Bool,100,ReadAndWrite,1,0,
Doorlock1_2Close,DB4.DBX2.7,Bool,100,ReadAndWrite,1,0,
Doorlock2_1Open,DB4.DBX3.0,Bool,100,ReadAndWrite,1,0,
Doorlock2_1Close,DB4.DBX3.1,Bool,100,ReadAndWrite,1,0,
Doorlock2_2Open,DB4.DBX3.2,Bool,100,ReadAndWrite,1,0,
Doorlock2_2Close,DB4.DBX3.3,Bool,100,ReadAndWrite,1,0,
DC1_Over,DB4.DBX3.4,Bool,100,ReadAndWrite,1,0,
DC2_Over,DB4.DBX3.5,Bool,100,ReadAndWrite,1,0,
DC3_Over,DB4.DBX3.6,Bool,100,ReadAndWrite,1,0,
Door1_PressureHigh,DB4.DBX3.7,Bool,100,ReadAndWrite,1,0,
Door1_PressureLow,DB4.DBX4.0,Bool,100,ReadAndWrite,1,0,
Door2_PressureHigh,DB4.DBX4.1,Bool,100,ReadAndWrite,1,0,
Door2_PressureLow,DB4.DBX4.2,Bool,100,ReadAndWrite,1,0,
HT_Cylinder1_1,DB4.DBW6,Int,100,ReadAndWrite,1,0,
HT_Cylinder1_2,DB4.DBW8,Int,100,ReadAndWrite,1,0,
HT_Cylinder2_1,DB4.DBW10,Int,100,ReadAndWrite,1,0,
HT_Cylinder2_2,DB4.DBW12,Int,100,ReadAndWrite,1,0,
Door1_Aperture,DB4.DBW14,Int,100,ReadAndWrite,1,0,
Door2_Aperture,DB4.DBW16,Int,100,ReadAndWrite,1,0,
S1_Temp_Oil,DB4.DBW18,Int,100,ReadAndWrite,1,0,
Pressure_Oil_Door1,DB4.DBW20,Int,100,ReadAndWrite,1,0,
Pressure_Oil_Door2,DB4.DBW22,Int,100,ReadAndWrite,1,0,
Al_Door1,DB4.DBX4.7,Bool,100,ReadAndWrite,1,0,
Al_Door2,DB4.DBX5.0,Bool,100,ReadAndWrite,1,0,
Fllow_Door1,MD400,Real,100,ReadAndWrite,1,0,
Fllow_Door2,MD404,Real,100,ReadAndWrite,1,0,
Temp_Oil_High,DB4.DBX4.3,Bool,100,ReadAndWrite,1,0,
Level_Oil_Low,DB4.DBX4.4,Bool,100,ReadAndWrite,1,0,
Door1_Open_Door,DB4.DBX5.1,Bool,100,ReadAndWrite,1,0,
Door2_Open_Door,DB4.DBX5.2,Bool,100,ReadAndWrite,1,0,
Lock1,DB4.DBX4.5,Bool,100,ReadAndWrite,1,0,
Lock2,DB4.DBX4.6,Bool,100,ReadAndWrite,1,0,
